filename,text,summary,keywords
FKB-Kids-Stories-Everything-Looks-New.txt,"Today is  Vasant Panchami. My parents say it is the first day of spring. Spring is the season between winter and summer.  It is called Vasant Ritu in Sanskrit.In many parts of India, people pray to the goddess of learning, music and art on this day. Many birds are sitting on the tree near my house. I think they are singing to me.The leaves on the tree are new and shiny. Just like my new frock. Amma is also wearing a yellow sari  ―  such a pretty colour ‘basanti’, and such a pretty name!Grandpa wants me to plant a tree.  “But why?” I ask.  “So that you will have a friend to grow up with, Meenu,” he says. “Spring is a good season to start something new.”We go to the garden. Grandpa and I dig a hole in the ground and plant a sapling. “How tall will it grow?” I ask him.""Wait and watch, dear Meenu!"" he says.  The squirrels are chasing each other. Tingu, the cat, chases a squirrel. And I want to chase Tingu.The garden is full of flowers. I like the yellow roses the best and Grandpa likes the white jasmine. There is a carpet of leaves under some trees.Many trees have flowers.  I like spring!  Everything looks so pretty in spring!Tomorrow is Holi. School is closed for two days. We have made a huge Holika with twigs, and pieces of wood.  Some of us went to the forest and brought tesu flowers. Manu put the flowers in a tank of water. The water has turned a bright orange!Tomorrow we will play Holi with the orange water. We will get gujia and puris to eat.  Spring is such a happy season. It is not cold, it is not hot, and it is not wet.  I  can play all the time!This is a Level 2 book for children who recognize familiar words and can read new words with help. (English) Everything looks new! So many flowers, so many colours, so many birds and squirrels chirping and jumping around Meenu! She is enchanted by nature at its best. It is spring time. Pratham Books goes digital to weave a whole new chapter in the realm of multilingual children's stories. Knitting together children, authors, illustrators and publishers. Folding in teachers, and translators. To create a rich fabric of openly licensed multilingual stories for the children of India  ​​  and the world. Our unique online platform, StoryWeaver, is a playground where children, parents, teachers and librarians can get creative. Come, start weaving today, and help us get a book in every child's hand!","The story is about Meenu celebrating Vasant Panchami, the first day of spring in India. Meenu and her family plant a sapling in their garden, and they enjoy the beauty of nature in spring. The story also describes Meenu's excitement for Holi, a festival of colors, which is celebrated in the following days. Meenu loves playing outside during the spring season, and she is fascinated by the beauty of flowers, birds, and squirrels. The story is part of a Level 2 book for children, and it encourages them to explore nature and enjoy the beauty of spring. The book is part of an online platform, StoryWeaver, which aims to provide multilingual children's stories for children in India and around the world.","['panchami', 'flowers', 'vasant', 'sanskrit', 'plant']"
Alif-blows-Bubbles-FKB-kids_book.txt,"Alfi was in the garden blowingbubbles.The bubbles were big round andhad all the colours of the rainbowin them.Some of the bubbles flew high inthe air over the tree tops.Some stayed close to the groundand bumped around the flowers. PageAlfi blew a stream of bubbles overthe daises.Some of these bumped togetherand popped showering littleshower drops of water onto theflowers. PageNow sitting in one of the flowers,minding there own business,gathering nectar and pollen, weretwo large black and yellow bees.The bees were being showered everynow and then with sudden bursts ofsoapy rain.Just when they had gathered anarmful of pollen, splosh they were hitin the face with a sudsy drop ofwater, this made them drop all theirpollen over the flower.The two bees were getting cross. PageAlfi was still running round thegarden enjoying himself, blowingthe bubbles, as the two bees lookedover the edge of the flower to seewhat was going on."" Now that.""  said the first bee. "" Isthe problem.""The answer to the problem theyboth thought was to remove thebubbles.Together the bees decided to burstall the bubbles with there littlepointy sting. Page 4theirZooming out from the flower the beesrushed around the garden, bursting asmany bubbles as they could find. It washard work.Alfi, far from being sad at seeing hisbubbled being burst, thought that it wasfun and started blowing more bubbles.The bees were buzzing around like wildthings, while Alfi was blowing more andmore bubbles.The buzzy bees got so out of breath theyhad to go back to a large daisy for a restand a cup of nectar. PageAlfi was getting excited and wasblowing bigger and biggerbubbles.One bubble was so big it wouldnot let go of the bubble stick.As Alfi would not let go of thebubble stick either, the bubbleslowly lifted Alfi into the air. PageThe bees looked over the edge ofthe sunflower where they weresitting.They saw Alfi rising into the air."" Now he thinks he's a bee."" saidthe first bee."" We can't have that, he's afterour honey."" said the second bee. PageThe bees flew over to where Alfiwas hovering just above thePansies."" Look here."" said the first beeflying just in front of Alfi."" We are not having you flyinground pinching our honey. Uphere is for bees, little boys belongdown on the ground."""" I know."" said Alfi. "" But I'mbeing kidnapped by this bigbubble."" Page"" That is serious."" said the second bee."" Shall we pop the bubble."" said thefirst bee to Alfi."" No no."" shouted Alfi  "" I will fall. """" We could sit on top of the bubble.""said the second bee. "" The extra weightof us may push Alfi down back to theground."""" Good idea. "" said the first bee sothey both flew to the top of the bubbleand sat down. PageThe two bees looked around, itwas nice on top of the bubble, thesun was shinning and there wasquite a good view.They could see their hive in thenext field where they lived. PageFar from making the bubble godown however, the warmth of thesun was making the bubble risehigher up into the air.The bees flew down again towhere Alfi was hanging on to thebubble stick and told him aboutthe sun warming the bubble. Page"" What we need. "" said Alfi. "" Is afriendly little black cloud to cover upthe sun. """" Not much chance of that. "" said thefirst bee. "" There is not a cloud in thesky. """" Not in the sky maybe. "" said thesecond bee. "" But I know where I canfind one. "" Saying  that, the secondbee flew off at top speed."" What is he talking about. ""  said Alfito the first bee."" I have not got the faintest idea. ""said the first bee. PageIn the distance there was a largebuzzing sound, the sound gotlouder and louder.Suddenly over the hedge therecame a large black cloud, the cloudwas buzzing and buzzing."" One black cloud. "" said thesecond bee, who was leading theblack buzzing cloud. PageThe cloud, of course, was made up ofhundreds and hundreds of bees.The second bee had flown back to thehive and brought everyone back withhim to help Alfi.The bees circled round above Alfiand the bubble, stopping the sunlight.As expected when the sun stoppedshinning on the bubble the air insideof the big bubble cooled down andthe bubble got heavier. PageSlowly Alfi and the bubble sankdown until they were justtouching the tops of some bigyellow flowers.Suddenly the bubble burst andAlfi was dropped into the middleof the flowers.The flowers were full of pollen anda large cloud of this pollen roseinto the air.Alfi gave a big sneeze. PageAll the bees zoomed down tocollect up the pollen and take itback to the hive.When all the bees had gone Alfifound himself left on his ownsitting in the middle of the flowersclutching his bubble stick."" Now that. "" said Alfi.""Was an adventure. ENDSecondly or possibly primarily, somewhere for my little cartoon characters to live. I have been adraftsman for many years and during idle moments and in meetings, especially in meetings, littlecharacters get doodled. These characters seem to take on a little life of their own and hang aroundin the mind until they eventually find a home in a story. They then seem to go away until the nextone comes along. These books and the original web site is somewhere to share these little cartooncharacters with. If they give anybody a little enjoyment then I am well pleased.These original picture books are free to download, keep, copy, print and use quite freely withoutany restriction.  Tony J MoonDodgy Publicationsfrom the moonrevision 15-05-2014contact - tonyonthemoon.co.uk About these booksThis series of books was designed with two functions in mind :-Firstly as a reading resource for primary education at schools and for privatetuition. They are  graded from simple picture books to full text short stories.The layout is simple and designed to be fun and downloaded so they maybe used without being connected to the internet.The layout and text is designed for easy reading on computer screens.Instructors and parents can be assured there is nothing in these booksthat not suitable for young children.","The text tells the story of Alfi, a boy blowing bubbles in a garden where two bees are trying to gather pollen. The bees become annoyed by the bubbles and decide to pop them with their stingers. As Alfi continues to blow bubbles, one becomes so big that it lifts him into the air. The bees, thinking Alfi is trying to steal their honey, fly up to confront him. They sit on the bubble to try and weigh it down, but instead it rises higher due to the warmth of the sun. The second bee goes to gather a cloud of bees to block the sun and cool down the bubble, causing it to sink to the ground and burst, covering Alfi in pollen. The bees collect the pollen and Alfi is left sitting in the flowers, reflecting on his adventure. The author also discusses their process of creating characters and stories.","['bees', 'bee', 'pollen', 'beesrushed', 'theflowers']"
FKB-Storiesfoxy-joxy-plays-a-trick_english.txt,"This book belongs toFoxy Joxy  Plays A TrickWatermelons for sale! Foxy Joxy was a sly fox. He sold big, fresh  watermelons.500 “Your price is  too high,” said  Rabbit Jabbit.“You are asking too much,”  said Gia Giraffe.Foxy Joxy had a clever idea.He slit open a big watermelon, scooped  out the fruit, and gobbled it up.He took a needle and thread and  sewed the watermelon back together.Then he filled it with water! He sold his  water melons for a cheap price. Many animals bought  from Foxy Joxy. “This watermelon has only  water in it,” complained  Funky Monkey.“Well, you got  what you paid for,”  said Foxy Joxy. “We need to teach Foxy Joxy a lesson,”  said Ellie Elephant.The animals gathered  around and came up  with a plan. “I have an idea,”  said Oliver Owl.They took an empty  watermelon, stuffed Foxy  Joxy into it and played a  game of football with it.He learnt his lesson and  never cheated again.Foxy Joxy was dizzy!","The text is a short story about Foxy Joxy, a sly fox who sold watermelons for a high price, but when animals complained about the price, he scooped out the fruit and filled them with water, selling them for a cheap price. When the animals found out, they decided to teach Foxy Joxy a lesson by stuffing him inside an empty watermelon and playing football with it. Foxy Joxy learned his lesson and never cheated again.","['watermelons', 'watermelon', 'trickwatermelons', 'joxy', 'foxy']"
Maya_fights_for_a_Cause_FKB.txt,"Madhavpur was a village adjoining a wild life sanctuary. The villagers deeply cared for the environment and the forest surroundingtheir village . The forest adjoining the village boasted of varieties of foxes, bats, snakes, wild boars , elephants and birds.2/12The forest also boasted of a special species called the elephant bird. It was a huge bird with a long strong neck, huge legs with  sharpclaws and long talons . Their numbers had dwindled over the years and very few  survived the harsh weather conditions and there wasjust one left in the jungles of Madhavpur.3/12The villagers tended their farms and led a happy life, living in perfect harmony with nature.Although there was a huge inflow of tourists during the holiday season, the village continued to remain hidden from land sharks wholost no opportunity to cut down trees and turn green pastures into concrete jungles.4/12One day the village Mukhiya ( headman) called for an emergency meeting. Part of the village and some parts of the jungle was soon tobe turned into a private wildlife resort to be run by a rich businessman. Some of the villagers would lose their farms and theirlivelihood. What was once a very cheerful and happy village, now went about their daily lives with gloom and uncertainty. Not many inthe village were educated and they didn't know whom to ask for help.5/12Maya was a smart ten year old in the village. She attended the village school and was one of the brightest girls in the village. ""How canwe let go of our farms and our livelihood just like that? "". Our cattle will die, the forest animals will leave and the elephant bird that weproudly boasted about might just go extinct !"", cried Maya.6/12""There must be some way we can reach out to the higher authorities "", she fumed. 7/12Maya spent the entire daywondering whom to approach forhelp.Only the village English teacherwas educated . She had comedown from the city as a volunteerand had stayed on. Maybe theteacher knew someone in the citywho could help .So Maya set out to theneighbouring village to meet theteacher, taking the jungle path.Itwas pitch dark .The trees threwmonstrous shadows , a jackalhowled from a distance and it allseemed scary .But Maya had no time towaste.She had to find a way tomobilise the villagers and sheneeded someone who waseducated to support their cause.8/12""We should write a letter to the forest department, and send a copy to the Prime Minister's office, and  we should also inform themedia. I have friends in the city who can help me do all this "" said Smitha ma'am, the village teacher.  The teacher lost no time increating the necessary documents. She was the only one that could write in English.9/12Meanwhile, Maya went door to door campaigning for the cause. She even mobilized the villagers from neighboring towns to supportthe cause. Soon, they were a thousand strong force that was fighting to preserve Madhavpur and the wildlife sanctuary.10/12Many weeks passed, and one day Salim Chacha, the village postman handed over a letter to the village headman. The letter from theforest department congratulated the villagers for fighting for their cause. There will be no illegal construction happening inMadhavpur or its surrounding villages, read the letter. Anyone deviating forest rules would be severely dealt with, said the forestdepartment.11/12Madhavpur and its villagers hadwon their case through honestyand sincerity .The Prime Minister's office invitedthe village school teacher andMaya to New Delhi.They were to be decorated onChildren's day for their braveryand concern for the environment.The entire village erupted with joy.Not only had the elephant bird puttheir village on the map, but nowbrave Maya and her teacher werenow a national sensation fromMadhavpur! 12/12","The village of Madhavpur is located next to a wildlife sanctuary and is home to many animals, including the rare elephant bird. When a rich businessman plans to turn part of the village and jungle into a private wildlife resort, the villagers are concerned about losing their farms and homes. Ten-year-old Maya and the village English teacher work together to mobilize the villagers and send letters to the forest department and the Prime Minister's office. The efforts of the villagers are successful, and the construction plan is halted. Maya and the teacher are invited to New Delhi to be honored for their bravery and concern for the environment, making them national heroes.","['madhavpur', 'wildlife', 'inmadhavpur', 'frommadhavpur', 'mukhiya']"
FKB-Stories-Animals-in-the-City.txt,"It’s  easy  to  see   animals  in  the zoo.   But  if  you  look   around  in  the  city,   animals  are    everywhere!Pigeons  are  everywhere  in  the  city,    picking  up  food  on  the  streets.  Raccoons  live  in  the  city  too.  Sometimes   they  look  for  food  in  the  trash.This  moose  walked  all  the  way  from    the  forest  into  someone’s  front  yard ! This  swan  is  crossing  the  street  to  get   back  to  the  lake.In  some  cities,  horses  help  the  police   keep  people  safe.In  other  cities,  elephants  give  people   rides  on  the  streets.There  are  lots  of  animals  in  the  city.  What  animal  will  you  see  next? ","The text discusses how animals are not just found in zoos, but also in cities. It mentions different types of animals that can be found in urban areas such as pigeons, raccoons, moose, swans, horses, and elephants. The text concludes by posing a question to the reader about what animal they might see next in the city.","['zoo', 'animals', 'elephants', 'animal', 'raccoons']"
there-must-be-a-rainbow_pdf-ebook_FKB.txt,"This book belongs toTHERE MUST BE  A RAINBOWNestled in the Kingdom of the Zulu is  a magnificent place called the Valley.A little girl called Jabulile lives here. Jabulile  was always a happy child. She was also  curious, and full of questions about life.  Everything fascinated her.Jabulile’s father was a mielie farmer.  Her mother was a teacher. They taught  her to dream big dreams. Jabulile’s  biggest dream was to help people.Everyone in the village was Jabulile’s friend,  especially the elders. They taught her about the wise men and women who once lived in the Valley. Jabulile also wanted to be wise.One awful day, the clouds began to gather  over the Valley. Everything grew dark and  grey. An ugly storm swept over the land.Great gusts of wind blew the roofs  off the huts. All the animals lost their  homes. It was a very sad day.The village folk cried, “What shall we do now?” “All the crops are ruined!” cried the farmers. “Our homes are gone!” said the elders. All hope seemed lost. But Jabulile remembered  something her wise father once told her.Jabulile started speaking to the villagers.  “The storm only hurts us,” she said, “because  of the way we choose to see it. If you look  up the sun is shining again. It is a new day. “After every storm, there must be a  rainbow!” she shouted excitedly.Just then a glorious rainbow  appeared in the sky.The villagers saw the rainbow and  they began to smile. It stood as a  promise that the storm was over.The villagers rebuilt their homes.   Farmers planted new crops. The grass  grew greener than ever before.Once again there was hope and  happiness in the Valley.","The book There Must Be a Rainbow tells the story of Jabulile, a curious and happy girl who lives in a village in the Kingdom of the Zulu. When a devastating storm hits the village and destroys everything, Jabulile remembers her father's wise words and encourages the villagers to see the storm as an opportunity for new beginnings. She reminds them that after every storm, there must be a rainbow. Eventually, a rainbow appears, and the villagers rebuild their homes and plant new crops, finding hope and happiness once again in the Valley.","['jabulile', 'zulu', 'mielie', 'villagers', 'village']"
The-Misadventures-of-Little-Toast-Whats-my-name-FKB-Stories.txt,"   This is Baby.    Baby is a girl.    Baby does not  know her name!   Baby learns to  crawl.   Baby sees popcorn. She wants some. Can she get it?   She tries. The bowl  falls down. There is  popcorn everywhere.   Oh well.  The damage is done. So she eats some. Yumm!  That is so tasty.   Papa walks in.  He says “If mama  sees this,  you're toast!”   Baby is  puzzled. “Is my name  toast?” she  wonders.   Baby is curious about  the trash can. She crawls to it and  investigates.    The trash can topples. There is trash  everywhere. What fun! Baby tastes  some.    Papa walks in.   He says “If  mama sees this,  you're toast!”    Papa called me toast again.  That must be my name. Hello, I am Toast.  Nice to meet you. ",The text describes a baby girl who is learning to crawl and discovers popcorn and a trash can. She makes a mess and eats some popcorn and trash. Her father warns her that her mother will be upset if she sees the mess. The baby becomes confused and thinks her name is toast because her father keeps calling her that. The overall tone of the text is light-hearted and humorous.,"['papa', 'toast', 'mama', 'popcorn', 'baby']"
202209-The-Little-Blue-Bird-FKB.txt,"Message from the Author    This is a fictional story for kids from ages 3 to 8. I have   written this book in order to improve the English of   young children and to attract kids to reading more good books. This is my Very First Book. Happy Reading!     Author:- Sachin Dissanayake You Tube Channel Link : -   Bridge to Fantasy You Tube Channel   Author Email Address : -  bridgetofantasybookclub@gmail.com   CC-BY-NCBasic Reading LevelPat  and  his  friends  were  playing baseball. When  his friend hit the ball he ran after it but he  couldn’t catch it. When he was going to pick the   ball up, he  heard thesound of a  smallbird. He found  a little blue bird next to his baseball. He called  his friends and showed them the bird.  The bird had a  broken wing so it couldn’t fly. Pat decided to  take it home,  the  kids  stopped  playing baseball and  went home. Pat is a bird lover. After returning  home, he  showed  the blue bird  to his mother. Pat told his  mother  about what had  happened  and asked  if  he  could  keep the bird .His mother thought about it for a while and then gave  Pat  permission to keep the bird until it gets  better. Pat  was  very  happy  when  his mother  said  ‘Okay’.  He  always wanted a pet and finally  he got his  first  pet,  a  Little  Blue  Bird.  He quickly  went to his room and  bandaged  the little birds’ wing. Then he made a small nest, put the nest   into a box, slowly placed the little bird into its  newly made nest and fed it some mango. Pat  wanted to give the little bird some more space   so the following morning Pat made a plan to  build a bird cage.He showed  the bird to his father and  asked for his help. His father was a professional  builder  and  he  liked Pats’ idea to make a bird  cage. First they gathered the things which were   needed  to build the bird cage, then  they started  to build it, and finally they painted  the cage. Pat had to wait impatiently until the paint was  dry so he went to check on his pet. He went to  his room and checked  the  pet  in  its  nest.  He   started to think of a nice name for the bird  while feeding  it some more mango.He wrote down some names on a piece of  paper. Later on he went and showed the list of  names that he had to his parents, both  parents chose the last name, ‘Blue’  because   it was the best name  for a female  bird, and  so  the  bird  was  called Blue. After the paint  was dry on the cage Pat put Blue on his bed and he took Blue's  nest and put it into  the cage. When he was going to lift Blue, she had pooped on Pats’  bed. He got scared that his mother would scold him because a new bed sheet was put onto the  bed that morning, but to his luck his mother laughed at the situation and she washed the bed sheet, then  she put a new one on to the bed.After this he carefully took blue and put her into  the newly made cage with water and some food.   After five weeks had passed Blue was healed  and she was ready to fly. Pat opened the door  and took Blue out. Blue first started to flap her wings harder and harder and then  started  flying.  She  flew gracefully and sang beautifully  while  flying. Pat was happy  and sad. He  thought  that Blue would not fly away but unfortunately  Blue left Pat. He loved Blue very much, and while he was happy for her, he felt  very sad and he wished that she would come   back. His parents encouraged Pat and tried to  convince him to buy a new bird but he refused.Then after about two weeks Blue came back  with another blue bird like her but the bird was  a ‘He’. Pat was surprised, happy, and thrilled   when he saw Blue again. Pat had not removed  the cage from  its place   after Blue left.  He always  had the  door of the cage open in case Blue  came back. When Pat saw the other bird he was  full of joy. The two birds went into the cage.  He called the new bird ‘Sky’. Pat took off the small   door of the cage so that they could easily go in  and out of the cage. The bond of the two blue  birds grew stronger and stronger. After two  weeks Blue laid five  small  eggs. Pat kept a careful eye on the eggs until they hatched. He kept the cage in a safe place  so predators won’t be able to eat the small nice  eggs. After two weeks had gone by the day finally came. The day that he could see the  small baby birds. He was so thrilled and excited  about this. He quickly called his parents to see. Pat felt happier and happier each moment  when they started to hatch one by one.Pat watched the five baby blue birds grow bigger and bigger each day while  their  father,  Sky,  went  on finding  food  for  the  babies.  Blue grew older and older. Unfortunately after one week had gone by Blue caught  a  viral  bird  flu.  She  was taken to a doctor but the sickness   was  incurable  because  Blue's health  was  not  good  from  giving birth. After three days had passed   by Blue and two  of her baby birds  passed  away.  It  was  a  very sorrowful day for Pat as it was his   first and very own pet that passed away with  two of its little babies.Pat held a small funeral for them. He  looked  after  the  three  small babies  very  well  and  their  father, Sky, took care of the small babies too. They soon got big and learned to fly with  the help of their father. Even though the other  birds were there he  felt  sad about  Blue because  it was his first beloved pet. He  cried  for  a  few  days  but  he decided that even though he cries   Blue won’t come  back. So he  kept in mind  that the  remaining  birds are   part of Blues’ family  and he will take care of them and rejoice in this. The EndNote from Author Pat was a very good boy, He took good care  of his pet Blue and  even  when  Blue  passed   away he took care of its family. So we must  also learn to take care of the things that we  love  and help anyone in  need just  as  Pat did.","The story is about a boy named Pat who, while playing baseball, finds a little blue bird with a broken wing. Pat decides to take care of the bird and name her Blue. With the help of his father, Pat builds a bird cage and takes care of Blue until she is healed and can fly again. After some time, Blue lays five eggs, and Pat is excited to watch the baby birds hatch and grow. Unfortunately, Blue catches a viral bird flu and dies, but her partner, Sky, takes care of their babies, and Pat is happy to see them grow.","['bird', 'birds', 'smallbird', 'ball', 'feeding']"
FKB-Stories-a-cloud-of-trash.txt,"Cheekoo was the unhappiest girl among her friends. She was certainly the unhappiest girl in her entire class. She was perhaps the unhappiest girl in the world.Friends? Cheekoo had no friends anymore. No one wanted to play with Cheekoo. Because she had a cloud hanging over her head. A cloud of TRASH.Orange peels and biscuit packets, Broken toys and pencil shavings, Twisted plastic bottles and colourful plastic bags, All surrounded by a swarm of buzzing flies.No one wanted to play with a girl who had a cloud of trash hanging over her. What if a rotten banana peel fell on your head?  YUCK! Cheekoo couldn’t even play hide- and-seek anymore. The cloud would always give her away.""Let’s walk to school together,"" she said to Sona. Sona ran off in the opposite direction. ""May I borrow your pencil sharpener?"" she asked Sweety. Sweety made a face and changed her seat to go sit with Asha. Cheekoo even had to eat her lunch alone. Cheekoo knew that she should have listened to her Amma. Amma always told her not to litter.""Don’t throw the banana peel on the road!"" ""Throw the empty biscuit packet in the dustbin.""  But Cheekoo never listened. She only laughed and kept littering.Then one day, Amma became very angry. ""Soon, all this trash will start following you!"" she said. Cheekoo just laughed. The next morning, Cheekoo woke up to a foul smell and the sound of buzzing flies. The cloud of trash was hanging over her head. Amma’s words had come true! And then, Cheekoo was unable to laugh.Cheekoo tried to run away.   But the trash cloud followed her everywhere. Cheekoo took a broom to sweep the cloud down. But the trash could not be swept away.Cheekoo tried  EVERYTHING . She screamed and asked the cloud to leave her alone. She even tried throwing the cloud into the dustbin. But the cloud of trash just wouldn’t go.  So Cheekoo became very unhappy.Then something happened! Cheekoo saw Bala throwing a banana peel on the road. Cheekoo was annoyed. Could he not see the cloud over her head? ""Oye silly boy!"" she yelled. ""Don’t throw the peel on the road. Someone will slip!"" Bala, scared of the trash cloud, threw the peel in the dustbin.The next day, the trash cloud had become smaller! ""How did that happen?"" Cheekoo wondered. Then, Cheekoo saw Reema Aunty throwing away plastic bags. ""Aunty!"" Cheekoo said. ""Please pick up these bags and reuse them."" Reema Aunty picked up the bags and left. The next day when Cheekoo woke up, the cloud was much smaller. Cheekoo smiled. She knew what she had to do.When someone threw away a biscuit packet or pencil shavings, Cheekoo stopped them. She picked up every twisted plastic bottle and put it in the dustbin. The village became cleaner and cleaner. And Cheekoo’s cloud became smaller and smaller. Until one day, it was gone.  COMPLETELY gone. Cheekoo was now perhaps the happiest girl in the world.Cheekoo never littered again.   Secretly, she liked living in a clean village. But she was also scared that the trash cloud  would come back, some day.   Who knew!Let’s Talk About Trash Ever wondered what happens to trash once you throw it away? No, it doesn’t become a cloud on your head. The trash ends up in a big garbage bin near your home. When you litter, the trash collects by the side of the road. Some of it goes into the drains that carry waste water from your house. This clogs the drains and attracts flies which spread nasty diseases! UGH! Nobody likes living in a dirty environment. Ask Cheekoo.Here’s how  NOT   to make a cloud of trash  - We  can start by not littering our surroundings.  - Always,  always throw waste  into a dustbin – look around for the nearest one. - After you eat a banana, don’t throw it on the road. Put the peel in a small bag until you find a dustbin.  - There are many things that you may think are useless, like the paper bag into which you put the peel. But not everything is waste. So don’t throw the bag with the peel! Take it home and reuse it.  - Cover dustbins so that flies can’t get inside.This is a Level 2 book for children who recognize familiar words and can read new words with help. (English) A Cloud of Trash A cloud of trash is hanging over Cheekoo’s head, making her the unhappiest girl in the world. Read this wonderful story to find out how Cheekoo gets rid of this horrible trash cloud. Pratham Books goes digital to weave a whole new chapter in the realm of multilingual children's stories. Knitting together children, authors, illustrators and publishers. Folding in teachers, and translators. To create a rich fabric of openly licensed multilingual stories for the children of India  ​​  and the world. Our unique online platform, StoryWeaver, is a playground where children, parents, teachers and librarians can get creative. Come, start weaving today, and help us get a book in every child's hand!","The story A Cloud of Trash is about a girl named Cheekoo who littered and ended up with a cloud of trash over her head, causing her to become unhappy and friendless. She eventually learns the importance of not littering and starts picking up trash in her village, which leads to the cloud getting smaller and eventually disappearing","['cheekoo', 'banana', 'unhappiest', 'oye', 'aunty']"
Supercow_Vol3-The_Reader-Oct2018.txt,"Once upon a time, a little lost girl sat by the stump of a tree crying. Why was she crying? We Don't know. ….But what we do know is that she was clutching a large book in her arms. Supercow was sitting, chilling,  in a feld of daisies.  “It's very important to stop and smell the fowers“ Supercow says. - “But don't pick too many! - Leave them for other people to enjoy too.”Wait, what is that???  Supercow hears a call for help.“Why are you crying little girl?” Said Supercow,  kindly and in a  non-threatening way. The little girl's name was Mia.  (mya).  People called her 'meea' sometimes; it made her mad but she didn't say anything  – that would be rude.  Supercow looked at the little girl clutching the book so tight -  It must be something to do with reading, he thought to himself.Why would anyone cry over a book???  He thought to himself.Supercow asked the little girl,  “Do you want someone to read that book to you?”The little girl looked like no one had ever offered to read her a book before.  Supercow was VERY worried. How could it be that nobody had ever wanted to read a book to her?? It was a crime or NOT???   “Little girl,” said Supercow,  “would you like me to  read you that book?”“Would I???” Mia clasped her hands in delight.So Supercow few away to save another day.   All was well with the world,  and,    Cow went  back to his stroll in  the Park.  THE END","The story starts with a little girl named Mia crying while clutching a large book. Supercow, who is relaxing in a field, hears her cries for help and approaches her. Supercow offers to read the book to her, and Mia is thrilled. The story ends with Supercow flying away to save the day, leaving Mia happy and content. The main theme of the story is the importance of reading and the joy it can bring to others.","['supercow', 'crying', 'daisies', 'little', 'mia']"
